imo,mmsi,name,flag,type
8126549,720938000,SLINGSHOT,BO,Cargo
7702918,720936000,"ABD ALKARIM",BO,"General Cargo"
9071052,720927000,"UNITED OCEAN",BO,"General Cargo"
7321441,720923000,JOUDI,BO,"General Cargo"
7803229,720919000,ALEX,BO,"General Cargo"
7413921,720917000,"HADDAD 1",BO,"General Cargo"
8113205,720916000,SHARK,BO,"General Cargo"
7702748,720914000,"SEA BIRD",BO,"General Cargo"
7909619,720905000,"MED DREAM",BO,"Ro-Ro/Passenger Ship"
8408454,720899000,NAIYA,BO,"Ro-Ro Cargo"
6602513,720892000,"VOICI BERNADETTE",BO,"General Cargo"
7366037,720891000,"ENAS H",BO,"General Cargo"
7819876,720889000,"M/V ABDULLAH",BO,"General Cargo"
8117421,720874000,LISANNE,BO,"General Cargo"
8416152,720869000,"MOUNIE K",BO,"General Cargo"
8129474,720863000,SHAM,BO,"General Cargo"
7930553,720849000,MINOUCHE,BO,"General Cargo"
7802392,720839000,"MV RED BARONESS",BO,"General Cargo"
8419724,720834000,"CAPTIN MUSTAFA",BO,Cargo
6522921,720777000,"VALPARAISO I",BO,"General Cargo"
7800306,720734000,"AHMAD PRINCE",BO,"General Cargo"
8370522,720722000,DRATBINGA-4,BO,
7637345,720718000,"FAMILY ISLAND",BO,"General Cargo"
7311800,720662000,ALMAHER,BO,"Not available"
7119991,720605000,ATENEA,BO,Cargo
5013556,720501355,"IB ASUNCION",BO,"Wing in ground"
8951431,720318000,SOYF,BO,Cargo
7930553,719800424,MINOUCHE,,"General Cargo"
1234567,715112332,INTERMARINE,,"Not available"
8501854,712048557,"ASTR_ PARATI",,"Anchor Handling Vessel"
8501907,712048554,"ASTRO ENCHOVA",,"Anchor Handling Vessel"
7911741,710999986,"NS LORETO",BR,"Offshore Supply Ship"
8501854,710999981,"ASTRO PARATI",BR,"Anchor Handling Vessel"
7911739,710999977,MARATI,BR,"Offshore Supply Ship"
7911753,710999976,ECO-OCTO,BR,"Other Type"
7434509,710999973,"SAGA RONCADOR",BR,"Offshore Supply Ship"
8617108,710999117,"MT LIVRAMENTO",BR,"Oil Products Tanker"
8501842,710999112,"ASTRO VERMELHO",BR,"Anchor Handling Vessel"
8501830,710999111,"ASTRO GAROUPA",BR,"Anchor Handling Vessel"
8501828,710999108,"ASTRO GUARICEMA",BR,"Anchor Handling Vessel"
8502963,710999107,CLARISSE,BR,"Anchor Handling Vessel"
8502949,710999104,CARMEN,BR,Tug
8501880,710999103,"ASTRO ARRAIA",BR,"Anchor Handling Vessel"
8501878,710998000,"ASTRO PARGO",BR,"Anchor Handling Vessel"
8753964,710992000,PIII,BR,"Drilling Jack Up"
9723784,710498000,"VITAL DE OLIVEIRA",BR,"Not available"
